"","employees","salaries_2017","salary_adjustments","salaries_2018","raise"
"1","Employee 1",43547.6063960232,7509.03948675841,51056.6458827816,TRUE
"2","Employee 2",48156.8369222805,8140.68102859892,56297.5179508794,TRUE
"3","Employee 3",42345.1170045882,-440.673377597705,41904.4436269905,FALSE
"4","Employee 4",47029.347976204,9150.76974546537,56180.1177216694,TRUE
"5","Employee 5",44124.387234915,-2859.660590766,41264.7266441491,FALSE
"6","Employee 6",41834.5419014804,-4584.0432564728,37250.4986450076,FALSE
"7","Employee 7",42306.1898211017,-2145.44038870372,40160.749432398,FALSE
"8","Employee 8",47874.9853651971,-564.65650908649,47310.3288561106,FALSE
"9","Employee 9",49335.5699628592,5306.20027682744,54641.7702396866,TRUE
"10","Employee 10",43198.9458505996,6361.74605228007,49560.6919028796,TRUE
"11","Employee 11",48637.7334059216,-1295.01989344135,47342.7135124803,FALSE
"12","Employee 12",46211.7550289258,3145.43793792836,49357.1929668542,TRUE
"13","Employee 13",43793.4974743985,8123.13401023857,51916.631484637,TRUE
"14","Employee 14",40391.0678788088,-4929.74761640653,35461.3202624023,FALSE
"15","Employee 15",43854.2213873006,-2050.30057346448,41803.9208138362,FALSE
"16","Employee 16",48782.6745118946,6531.28219768405,55313.9567095786,TRUE
"17","Employee 17",47078.9920701645,6699.79920843616,53778.7912786007,TRUE
"18","Employee 18",45707.1530795656,-394.66081885621,45312.4922607094,FALSE
"19","Employee 19",44099.1142182611,7541.58661933616,51640.7008375973,TRUE
"20","Employee 20",43032.1149085648,-1083.87779328041,41948.2371152844,FALSE
"21","Employee 21",49918.9306725748,471.188043011352,50390.1187155861,TRUE
"22","Employee 22",40932.9080418684,4304.39056479372,45237.2986066621,TRUE
"23","Employee 23",49775.0916960649,6733.15712600015,56508.2488220651,TRUE
"24","Employee 24",40707.6762919314,7044.97229540721,47752.6485873386,TRUE
"25","Employee 25",43407.7389282174,-1833.78995861858,41573.9489695989,FALSE
"26","Employee 26",42625.2642134205,-1196.60246069543,41428.661752725,FALSE
"27","Employee 27",46746.5065536089,8917.16533573344,55663.6718893424,TRUE
"28","Employee 28",47148.4329272062,8629.50578448363,55777.9387116898,TRUE
"29","Employee 29",45092.7724596113,-1333.46755057573,43759.3049090356,FALSE
"30","Employee 30",42718.2188886218,4698.42755584978,47416.6464444716,TRUE
"31","Employee 31",46801.1967535131,7867.08004190587,54668.2767954189,TRUE
"32","Employee 32",44160.897731781,4014.93906741962,48175.8367992006,TRUE
"33","Employee 33",48115.5923404731,7721.63152345456,55837.2238639276,TRUE
"34","Employee 34",43804.0390750393,6960.39881906472,50764.437894104,TRUE
"35","Employee 35",48804.4278137386,597.1309018787,49401.5587156173,TRUE
"36","Employee 36",44253.3825524151,-4136.29549788311,40117.087054532,FALSE
"37","Employee 37",40594.8150670156,7432.96697502956,48027.7820420451,TRUE
"38","Employee 38",44992.4134672619,6857.16714942828,51849.5806166902,TRUE
"39","Employee 39",46381.7393709905,2564.5035051275,48946.242876118,TRUE
"40","Employee 40",45863.7957368046,5035.56873649359,50899.3644732982,TRUE
"41","Employee 41",43405.017866753,-1594.02975346893,41810.9881132841,FALSE
"42","Employee 42",43509.3555389903,6853.99234294891,50363.3478819393,TRUE
"43","Employee 43",41595.3084290959,-2369.71526872367,39225.5931603722,FALSE
"44","Employee 44",47315.9871529788,8140.76790004037,55456.7550530192,TRUE
"45","Employee 45",42724.5345758274,2917.00123692863,45641.535812756,TRUE
"46","Employee 46",47020.6343987957,6021.19504008442,53041.8294388801,TRUE
"47","Employee 47",48297.650013119,4165.39808153175,52463.0480946507,TRUE
"48","Employee 48",41002.7887951583,7356.21440806426,48359.0032032225,TRUE
"49","Employee 49",41418.9404295757,2585.23217169568,44004.1726012714,TRUE
"50","Employee 50",42577.3043627851,-4937.09813337773,37640.2062294073,FALSE
"51","Employee 51",45026.1418684386,6200.70683769882,51226.8487061374,TRUE
"52","Employee 52",43571.9436756335,-744.815784273669,42827.1278913599,FALSE
"53","Employee 53",43661.765512079,7072.02280638739,50733.7883184664,TRUE
"54","Employee 54",45864.210287109,4551.70623841695,50415.916525526,TRUE
"55","Employee 55",42124.0986394696,-3811.7078167852,38312.3908226844,FALSE
"56","Employee 56",48165.0492339395,-128.923890879378,48036.1253430601,FALSE
"57","Employee 57",47171.5522627346,6760.84597129375,53932.3982340284,TRUE
"58","Employee 58",43158.1840151921,7448.19807005115,50606.3820852432,TRUE
"59","Employee 59",44972.1063650213,-2709.30865895934,42262.797706062,FALSE
"60","Employee 60",49774.9423747882,9841.15224797279,59616.094622761,TRUE
"61","Employee 61",47654.7070941888,-1081.77718007937,46572.9299141094,FALSE
"62","Employee 62",46590.6655997969,899.717340944335,47490.3829407413,TRUE
"63","Employee 63",47135.7223275118,1415.92187690549,48551.6442044172,TRUE
"64","Employee 64",40101.9308553077,9415.87950801477,49517.8103633225,TRUE
"65","Employee 65",40772.9702140205,663.872549775988,41436.8427637964,TRUE
"66","Employee 66",44449.8029514216,-4235.37816037424,40214.4247910473,FALSE
"67","Employee 67",45989.8365032859,9082.77954673395,55072.6160500199,TRUE
"68","Employee 68",43145.9040520713,8869.19759679586,52015.1016488671,TRUE
"69","Employee 69",48045.117626898,761.655905516818,48806.7735324148,TRUE
"70","Employee 70",45307.8006091528,-4351.89422802068,40955.9063811321,FALSE
"71","Employee 71",43146.981431637,6401.23975346796,49548.2211851049,TRUE
"72","Employee 72",48800.9452517144,3459.52066010796,52260.4659118224,TRUE
"73","Employee 73",45132.2026317939,2579.80417693034,47712.0068087243,TRUE
"74","Employee 74",40063.9308360405,7019.15844692849,47083.089282969,TRUE
"75","Employee 75",44982.9339864664,4190.96564175561,49173.899628222,TRUE
"76","Employee 76",45058.7561330758,-4253.61422705464,40805.1419060212,FALSE
"77","Employee 77",43667.5964412279,7788.9149740804,51456.5114153083,TRUE
"78","Employee 78",43848.8239934668,-2167.80292219482,41681.021071272,FALSE
"79","Employee 79",44261.1260642298,7300.92571233399,51562.0517765637,TRUE
"80","Employee 80",42203.2464225776,5228.47431944683,47431.7207420245,TRUE
"81","Employee 81",46791.494206991,1302.67350119539,48094.1677081864,TRUE
"82","Employee 82",46344.0596009605,9993.42170776799,56337.4813087285,TRUE
"83","Employee 83",49301.3726244681,7707.82202016562,57009.1946446337,TRUE
"84","Employee 84",45451.8647957593,-3794.19771721587,41657.6670785435,FALSE
"85","Employee 85",44328.6855262704,577.863187063485,44906.5487133339,TRUE
"86","Employee 86",48199.0240397863,-1383.45831073821,46815.5657290481,FALSE
"87","Employee 87",45825.618263334,1459.42077273503,47285.0390360691,TRUE
"88","Employee 88",45341.2401047535,-3598.39902608655,41742.841078667,FALSE
"89","Employee 89",45397.0911889337,7988.89124416746,53385.9824331012,TRUE
"90","Employee 90",48855.7690568268,-4600.17348872498,44255.5955681019,FALSE
"91","Employee 91",48700.9484716691,7472.5797586143,56173.5282302834,TRUE
"92","Employee 92",40337.7183573321,1536.16884141229,41873.8871987443,TRUE
"93","Employee 93",44665.6243479811,-2701.89947914332,41963.7248688377,FALSE
"94","Employee 94",43019.5560562424,8128.36253666319,51147.9185929056,TRUE
"95","Employee 95",45966.8389032595,3735.68632057868,49702.5252238382,TRUE
"96","Employee 96",48820.9782773629,3884.2054863926,52705.1837637555,TRUE
"97","Employee 97",45291.7404822074,3476.5108441934,48768.2513264008,TRUE
"98","Employee 98",49404.4617866166,9067.4615977332,58471.9233843498,TRUE
"99","Employee 99",44343.769333791,-4135.78853243962,40207.9808013514,FALSE
"100","Employee 100",48423.3602648601,5711.99473459274,54135.3549994528,TRUE
